"","Inducer","Concurrent","Comparison","Response.mean.mean","Response.mean.sd","Inducer2","Concurrent2","pValue","ZValue","effsize"
"103","Shape","Amp","Amp-Shape",0.792682926829268,0.353121964696646,"Jagged/Curvy","Loud/Quiet",0.00483669637599137,-2.8177133856373,0.490500941326735
"104","Amp","Shape","Amp-Shape",0.719512195121951,0.419058177461747,"Loud/Quiet","Jagged/Curvy",7.85106330978488e-07,-4.93903372919694,0.859775414264733
"105","Size","Amp","Amp-Size",0.925,0.175553312464452,"Large/Small","Loud/Quiet",2.7020326474064e-06,-4.69226012219507,0.92022792022792
"106","Amp","Size","Amp-Size",0.908333333333333,0.191222624064264,"Loud/Quiet","Large/Small",1.30267439525496e-07,-5.27846936443921,0.997536945812808
"107","Speed","Amp","Amp-Speed",0.941666666666667,0.156515578894823,"Fast/Slow","Loud/Quiet",0.0410769029064881,-2.0427529234278,0.722222222222222
"108","Amp","Speed","Amp-Speed",0.95,0.137715348604937,"Loud/Quiet","Fast/Slow",0.0355134286016265,-2.1024551030444,0.561904761904762
"109","Color RB","Brightness","Brightness-Color RB",0.458333333333333,0.498102459947811,"Red/Blue","Bright/Dark",1,0,0
"110","Brightness","Color RB","Brightness-Color RB",0.607142857142857,0.487480627961115,"Bright/Dark","Red/Blue",0.00260191996916328,-3.01122963665124,0.835164835164835
"111","Color RG","Brightness","Brightness-Color RG",0.37962962962963,0.470730053067884,"Red/Green","Bright/Dark",0.00625363334482939,-2.73417744312914,0.449496002763582
"112","Brightness","Color RG","Brightness-Color RG",0.307692307692308,0.383973823894152,"Bright/Dark","Red/Green",0.724560719066644,-0.352370104671341,0.0654334857504278
"113","Color RY","Brightness","Brightness-Color RY",0.229166666666667,0.366639609391297,"Red/Yellow","Bright/Dark",0.71516275238571,-0.364931215319254,0.0616846338620632
"114","Brightness","Color RY","Brightness-Color RY",0.355555555555556,0.479196858952174,"Bright/Dark","Red/Yellow",9.31420580523817e-05,-3.90779558164233,0.725659422059862
"115","Color YB","Brightness","Brightness-Color YB",0.9375,0.170782512765993,"Yellow/Blue","Bright/Dark",1.68992032529431e-07,-5.23056577648649,0.884126984126984
"116","Brightness","Color YB","Brightness-Color YB",0.726190476190476,0.373291795177398,"Bright/Dark","Yellow/Blue",0.670008886498526,-0.426135811659648,0.086984608307741
"117","Noise","Brightness","Brightness-Noise",0.291666666666667,0.354061005198679,"Noisy/Tonal","Bright/Dark",0.00283935091290002,-2.98461538461538,0.585331234104734
"118","Brightness","Noise","Brightness-Noise",0.325,0.394739110701285,"Bright/Dark","Noisy/Tonal",0.484018354704782,-0.699854212223765,0.285714285714286
"119","Pitch","Brightness","Brightness-Pitch",0.585365853658537,0.401597420067507,"High Pitch/Low Pitch","Bright/Dark",0.0235133227840033,-2.26498951759007,0.653846153846154
"120","Brightness","Pitch","Brightness-Pitch",0.560975609756098,0.421235117707729,"Bright/Dark","High Pitch/Low Pitch",0.423710797166793,-0.8,0.4
"121","Shape","Brightness","Brightness-Shape",0.51219512195122,0.439997228372645,"Jagged/Curvy","Bright/Dark",0.0393672406234953,-2.06032752128138,0.621212121212121
"122","Brightness","Shape","Brightness-Shape",0.524390243902439,0.417600579384702,"Bright/Dark","Jagged/Curvy",0.0070746204828143,-2.69331118157055,0.561594202898551
"123","Size","Brightness","Brightness-Size",0.65,0.395487365677156,"Large/Small","Bright/Dark",0.557111304761632,-0.587137588089611,0.112994681511628
"124","Brightness","Size","Brightness-Size",0.65,0.441442855726304,"Bright/Dark","Large/Small",0.00511026066085587,-2.8,0.583840359359809
"125","Speed","Brightness","Brightness-Speed",0.9,0.232047740446129,"Fast/Slow","Bright/Dark",0.00974876789741285,-2.58461538461538,0.516923076923077
"126","Brightness","Speed","Brightness-Speed",0.925,0.21333733970597,"Bright/Dark","Fast/Slow",0.131634592382001,-1.50768724163049,0.329004329004329
"127","Noise","Color RB","Color RB-Noise",0.545454545454545,0.522232967867094,"Noisy/Tonal","Red/Blue",9.79027274003789e-09,-5.73432278442299,0.983428244278994
"128","Color RB","Noise","Color RB-Noise",0.666666666666667,0.5,"Red/Blue","Noisy/Tonal",0.0199569045307133,-2.32715711578355,0.439791356438402
"129","Pitch","Color RB","Color RB-Pitch",0.541666666666667,0.455743370990759,"High Pitch/Low Pitch","Red/Blue",0.00596207853209371,-2.74985970461435,0.972222222222222
"130","Color RB","Pitch","Color RB-Pitch",0.448717948717949,0.478155287153116,"Red/Blue","High Pitch/Low Pitch",0.116896858252506,-1.56793261921956,0.419047619047619
"131","Shape","Color RB","Color RB-Shape",0.727272727272727,0.467099366496914,"Jagged/Curvy","Red/Blue",0.129430674437906,-1.51635079315149,0.619047619047619
"132","Color RB","Shape","Color RB-Shape",0.666666666666667,0.5,"Red/Blue","Jagged/Curvy",0.177938674206831,-1.34712904797556,0.373626373626374
"133","Size","Color RB","Color RB-Size",0.555555555555556,0.499157539418418,"Large/Small","Red/Blue",0.000101397839486174,-3.88722241250629,0.72183908045977
"134","Color RB","Size","Color RB-Size",0.884615384615385,0.299572344757639,"Red/Blue","Large/Small",0.705649642215406,-0.377705149155021,0.0713795638266245
"135","Speed","Color RB","Color RB-Speed",0.727272727272727,0.467099366496914,"Fast/Slow","Red/Blue",9.31420580523817e-05,-3.90779558164233,0.766381766381766
"136","Color RB","Speed","Color RB-Speed",0.777777777777778,0.440958551844098,"Red/Blue","Fast/Slow",0.0348061395276734,-2.11060660445075,0.346981588371703
"137","Noise","Color RG","Color RG-Noise",0.75,0.427425207132555,"Noisy/Tonal","Red/Green",2.8190763360612e-07,-5.13515763512426,0.86800006480538
"138","Color RG","Noise","Color RG-Noise",0.570175438596491,0.452413928358864,"Red/Green","Noisy/Tonal",4.59184346258302e-10,-6.23245401825122,0.804606353956349
"139","Pitch","Color RG","Color RG-Pitch",0.416666666666667,0.468718433280546,"High Pitch/Low Pitch","Red/Green",2.7020326474064e-06,-4.69226012219507,0.92022792022792
"140","Color RG","Pitch","Color RG-Pitch",0.19047619047619,0.370006434950477,"Red/Green","High Pitch/Low Pitch",0.0881597528488954,-1.70518593227409,0.284197655379015
"141","Shape","Color RG","Color RG-Shape",0.75,0.365148371670111,"Jagged/Curvy","Red/Green",0.0149676930133579,-2.43315981116462,0.47718189833916
"142","Color RG","Shape","Color RG-Shape",0.708333333333333,0.414851116999053,"Red/Green","Jagged/Curvy",4.52943899502055e-06,-4.58548033860367,0.81060606060606
"143","Size","Color RG","Color RG-Size",0.515151515151515,0.502518907629606,"Large/Small","Red/Green",0.796282037872935,-0.258161800198777,0.0288633667219092
"144","Color RG","Size","Color RG-Size",0.366666666666667,0.482440191123932,"Red/Green","Large/Small",6.21983443931161e-07,-4.98426326892468,0.550419799146156
