,trialNum,rt,subject,condition,InducerL,InducerR,ConcurrentL,ConcurrentR,choice
41,42.0,1914.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-YB-H,Color-YB-L,Shape-BK2-L,Shape-BK2-H,1
42,43.0,5076.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RG-L,Color-RG-H,Pitch-Pulse-H,Pitch-Pulse-L,0
43,44.0,3789.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RY-L,Color-RY-H,Pitch-Pulse-L,Pitch-Pulse-H,0
44,45.0,5060.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-L,Size-Squares-H,Pitch-Pulse-L,Pitch-Pulse-H,1
45,46.0,4278.0,2fgfNXCWoW,Pitch-Size-Color-9,Affect-EB-L,Affect-EB-H,Pitch-Tone-H,Pitch-Tone-L,0
46,47.0,4686.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Piano-H,Pitch-Piano-L,Affect-EB-L,Affect-EB-H,0
47,48.0,4271.0,2fgfNXCWoW,Pitch-Size-Color-9,Shape-BK2-H,Shape-BK2-L,Pitch-Tone-L,Pitch-Tone-H,1
48,49.0,5576.0,2fgfNXCWoW,Pitch-Size-Color-9,Noise-Hum-L,Noise-Hum-H,Pitch-Pulse-L,Pitch-Pulse-H,1
49,50.0,3074.0,2fgfNXCWoW,Pitch-Size-Color-9,Shape-BK2-L,Shape-BK2-H,Size-Triangles-L,Size-Triangles-H,0
50,51.0,3935.0,2fgfNXCWoW,Pitch-Size-Color-9,Noise-Hum-H,Noise-Hum-L,Color-RY-L,Color-RY-H,0
51,52.0,4477.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Pulse-L,Pitch-Pulse-H,Size-Triangles-H,Size-Triangles-L,0
52,53.0,3693.0,2fgfNXCWoW,Pitch-Size-Color-9,Amp-Tone-H,Amp-Tone-L,Size-Circles-H,Size-Circles-L,0
53,54.0,3254.0,2fgfNXCWoW,Pitch-Size-Color-9,Amp-Tone-L,Amp-Tone-H,Size-Triangles-L,Size-Triangles-H,0
54,55.0,2992.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-H,Size-Squares-L,Color-RB-H,Color-RB-L,1
55,56.0,3813.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Diamonds-L,Size-Diamonds-H,Pitch-Pulse-H,Pitch-Pulse-L,0
56,57.0,2073.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-H,Size-Squares-L,Color-RY-L,Color-RY-H,1
57,58.0,5632.0,2fgfNXCWoW,Pitch-Size-Color-9,Amp-Tone-H,Amp-Tone-L,Pitch-Pulse-H,Pitch-Pulse-L,1
58,59.0,3748.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RG-H,Color-RG-L,Amp-Tone-H,Amp-Tone-L,0
59,60.0,3894.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Pulse-H,Pitch-Pulse-L,Color-RB-H,Color-RB-L,0
60,61.0,5766.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Diamonds-L,Size-Diamonds-H,Noise-Hum-L,Noise-Hum-H,0
61,62.0,2039.0,2fgfNXCWoW,Pitch-Size-Color-9,Shape-BK2-H,Shape-BK2-L,Color-RY-H,Color-RY-L,0
62,63.0,3425.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-YB-L,Color-YB-H,Speed-SP4-L,Speed-SP4-H,0
63,64.0,1824.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RG-H,Color-RG-L,Shape-BK2-L,Shape-BK2-H,1
64,65.0,4735.0,2fgfNXCWoW,Pitch-Size-Color-9,Shape-BK2-H,Shape-BK2-L,Pitch-Pulse-H,Pitch-Pulse-L,1
65,66.0,5553.0,2fgfNXCWoW,Pitch-Size-Color-9,Amp-Tone-L,Amp-Tone-H,Pitch-Tone-L,Pitch-Tone-H,0
66,67.0,3551.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-YB-H,Color-YB-L,Amp-Tone-H,Amp-Tone-L,1
67,68.0,4691.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-YB-L,Color-YB-H,Pitch-Pulse-H,Pitch-Pulse-L,1
68,69.0,4062.0,2fgfNXCWoW,Pitch-Size-Color-9,Amp-Tone-H,Amp-Tone-L,Color-RY-H,Color-RY-L,0
69,70.0,4702.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Hum-L,Pitch-Hum-H,Shape-BK2-L,Shape-BK2-H,0
70,71.0,3367.0,2fgfNXCWoW,Pitch-Size-Color-9,Noise-Hum-L,Noise-Hum-H,Size-Circles-L,Size-Circles-H,0
71,72.0,3331.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Piano-H,Pitch-Piano-L,Size-Squares-H,Size-Squares-L,0
72,73.0,2809.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RG-H,Color-RG-L,Brightness-Triangles-H,Brightness-Triangles-L,0
73,74.0,4210.0,2fgfNXCWoW,Pitch-Size-Color-9,Affect-EB-L,Affect-EB-H,Size-Circles-H,Size-Circles-L,1
74,75.0,3651.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Squares-H,Size-Squares-L,Pitch-Tone-H,Pitch-Tone-L,1
75,76.0,3842.0,2fgfNXCWoW,Pitch-Size-Color-9,Affect-EB-L,Affect-EB-H,Size-Triangles-L,Size-Triangles-H,0
76,77.0,3462.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Diamonds-H,Size-Diamonds-L,Amp-Tone-H,Amp-Tone-L,0
77,78.0,4025.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Pulse-H,Pitch-Pulse-L,Color-RY-L,Color-RY-H,0
78,79.0,2034.0,2fgfNXCWoW,Pitch-Size-Color-9,Brightness-Triangles-L,Brightness-Triangles-H,Color-RY-H,Color-RY-L,1
79,80.0,3701.0,2fgfNXCWoW,Pitch-Size-Color-9,Color-RG-L,Color-RG-H,Noise-Hum-L,Noise-Hum-H,0
80,81.0,3861.0,2fgfNXCWoW,Pitch-Size-Color-9,Pitch-Pulse-H,Pitch-Pulse-L,Size-Circles-L,Size-Circles-H,0
81,82.0,2482.0,2fgfNXCWoW,Pitch-Size-Color-9,Size-Diamonds-L,Size-Diamonds-H,Speed-SP4-H,Speed-SP4-L,0
